epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8967,2.78945,4.23853,4.2682,0.00232,0.55303,0.00725,0.00171,2.31884,4.10705,4.07213,0.0705556,0.0032716,0.0032716
2,33.623,2.65076,3.58616,3.96951,0.72135,0.02948,0.23948,0.08619,2.03865,3.65375,3.66098,0.0404902,0.00653955,0.00653955
3,47.7288,2.51996,3.08468,3.46275,0.18333,0.29167,0.1283,0.03236,2.55286,4.6019,11.5368,0.0103588,0.00974149,0.00974149
4,61.931,2.38526,2.75822,3.09971,0.02228,0.09848,0.01095,0.00422,2.32307,19.3403,7.43266,0.009703,0.009703,0.009703
5,76.1928,2.29226,2.48873,2.94273,0.45178,0.5,0.49192,0.20616,1.85318,4.71014,2.78602,0.009604,0.009604,0.009604
6,90.6599,2.18132,2.17989,2.76254,0.48737,0.64394,0.52698,0.20547,1.90989,4.36589,2.92925,0.009505,0.009505,0.009505
7,104.861,2.12474,2.00482,2.6214,0.56502,0.51894,0.53381,0.18803,1.95824,2.50832,2.64907,0.009406,0.009406,0.009406
8,119.419,2.12259,1.90888,2.56025,0.73004,0.75803,0.78883,0.35003,1.70397,1.70415,2.38232,0.009307,0.009307,0.009307
9,133.831,2.04322,1.82105,2.45027,0.70975,0.81061,0.84001,0.3969,1.64246,1.77337,2.19129,0.009208,0.009208,0.009208
10,148.417,1.94634,1.69398,2.35283,0.65439,0.74242,0.72436,0.2666,1.93133,3.10565,2.36322,0.009109,0.009109,0.009109
11,162.777,1.88963,1.56753,2.30624,0.7445,0.75758,0.85253,0.43184,1.61805,1.88007,2.1385,0.00901,0.00901,0.00901
12,177.352,1.82278,1.5064,2.22517,0.77007,0.87533,0.89468,0.45881,1.6226,1.25374,2.18131,0.008911,0.008911,0.008911
13,191.839,1.75171,1.39864,2.14592,0.87728,0.92063,0.95448,0.49162,1.56351,1.18982,2.12114,0.008812,0.008812,0.008812
14,206.548,1.74614,1.37657,2.13107,0.8091,0.88258,0.90528,0.43223,1.70527,1.3433,2.24306,0.008713,0.008713,0.008713
15,221.028,1.71618,1.37288,2.10226,0.86945,0.86742,0.93767,0.49651,1.52428,1.30912,2.08016,0.008614,0.008614,0.008614
16,235.374,1.67428,1.30308,2.03986,0.81234,0.89773,0.91644,0.43747,1.60644,1.21937,2.10008,0.008515,0.008515,0.008515
17,249.815,1.64403,1.25277,1.9982,0.87453,0.875,0.91452,0.44386,1.66236,1.14936,2.1638,0.008416,0.008416,0.008416
18,264.437,1.67662,1.24129,2.02169,0.88281,0.89015,0.9371,0.49234,1.53513,1.16745,2.0783,0.008317,0.008317,0.008317
19,278.853,1.62565,1.20558,1.98265,0.93982,0.94645,0.97333,0.49168,1.56939,1.0706,2.06292,0.008218,0.008218,0.008218
20,293.555,1.63947,1.19816,1.96649,0.94413,0.92803,0.96902,0.47466,1.61867,1.05726,2.14012,0.008119,0.008119,0.008119
21,308.192,1.61251,1.15376,1.96939,0.94033,0.89539,0.97551,0.49549,1.61982,1.11675,2.16263,0.00802,0.00802,0.00802
22,322.867,1.58793,1.12075,1.93765,0.96243,0.97025,0.99129,0.49236,1.63795,0.91576,2.13122,0.007921,0.007921,0.007921
23,337.6,1.61118,1.10736,1.96078,0.9358,0.93861,0.97994,0.49947,1.51624,1.09982,2.04723,0.007822,0.007822,0.007822
24,352.189,1.58147,1.08592,1.89361,0.93448,0.93939,0.97452,0.46436,1.66465,0.94925,2.13593,0.007723,0.007723,0.007723
25,366.725,1.58166,1.0683,1.92588,0.96,0.97348,0.97093,0.49865,1.52714,0.94466,2.01479,0.007624,0.007624,0.007624
26,381.324,1.55564,1.07838,1.88744,0.97345,0.97216,0.98213,0.51167,1.5451,0.96628,2.02538,0.007525,0.007525,0.007525
27,395.709,1.55495,1.05589,1.89356,0.95589,0.98493,0.99192,0.52853,1.51778,0.88,1.9845,0.007426,0.007426,0.007426
28,410.379,1.52967,1.02117,1.86167,0.96351,0.98485,0.99137,0.53032,1.52086,0.81283,2.05423,0.007327,0.007327,0.007327
29,424.918,1.54507,1.03836,1.88603,0.93148,0.95833,0.97664,0.51699,1.51497,0.85827,1.98175,0.007228,0.007228,0.007228
30,439.629,1.50435,1.02576,1.85253,0.98669,0.93561,0.99064,0.53976,1.46217,0.83386,1.97534,0.007129,0.007129,0.007129
31,454.336,1.51642,0.99338,1.87337,0.92973,0.93182,0.95388,0.49336,1.52912,0.866,1.99589,0.00703,0.00703,0.00703
32,468.937,1.51861,0.99333,1.87614,0.92344,0.98106,0.9786,0.53976,1.47688,0.8635,1.96204,0.006931,0.006931,0.006931
33,483.519,1.50527,0.94879,1.83284,0.96976,0.97166,0.9906,0.52852,1.51365,0.82368,1.95678,0.006832,0.006832,0.006832
34,498.005,1.49721,0.95518,1.82058,0.95567,0.96591,0.9745,0.4552,1.6625,0.79435,2.05214,0.006733,0.006733,0.006733
35,512.557,1.47055,0.9262,1.78728,0.93905,0.99204,0.97777,0.49011,1.61827,0.75626,1.96294,0.006634,0.006634,0.006634
36,527.124,1.48525,0.94353,1.80742,0.9588,0.98864,0.98611,0.53373,1.52517,0.73961,1.91493,0.006535,0.006535,0.006535
37,541.715,1.48243,0.93371,1.80242,0.92447,0.92731,0.94903,0.4802,1.51443,0.86905,1.91079,0.006436,0.006436,0.006436
38,556.413,1.4603,0.94485,1.77789,0.95782,0.98106,0.99,0.54607,1.49583,0.82274,1.89438,0.006337,0.006337,0.006337
39,571.023,1.45188,0.90242,1.79166,0.94823,0.96591,0.96389,0.47774,1.60941,0.82204,2.00731,0.006238,0.006238,0.006238
40,585.622,1.46083,0.89983,1.79618,0.96608,0.97093,0.97991,0.50995,1.54157,0.73809,1.91218,0.006139,0.006139,0.006139
41,600.191,1.44954,0.8768,1.75628,0.97831,0.99242,0.99097,0.54115,1.50947,0.71415,1.91248,0.00604,0.00604,0.00604
42,614.787,1.45403,0.87436,1.78896,0.9682,0.99242,0.99248,0.54719,1.51184,0.68489,1.92364,0.005941,0.005941,0.005941
43,629.359,1.47828,0.90633,1.78484,0.922,0.97727,0.97007,0.53226,1.48062,0.75374,1.86331,0.005842,0.005842,0.005842
44,643.977,1.46274,0.87042,1.78838,0.95286,0.99545,0.98094,0.53105,1.51813,0.74992,1.93603,0.005743,0.005743,0.005743
45,658.567,1.4514,0.86358,1.77795,0.94366,0.9516,0.95649,0.51368,1.47953,0.76685,1.89378,0.005644,0.005644,0.005644
46,673.268,1.45715,0.85022,1.77547,0.96988,0.98864,0.9934,0.55144,1.4622,0.73185,1.89352,0.005545,0.005545,0.005545
47,687.843,1.43706,0.8244,1.76512,0.97825,0.97727,0.98007,0.52041,1.51049,0.65534,1.92624,0.005446,0.005446,0.005446
48,702.456,1.42042,0.84852,1.74591,0.99239,0.98842,0.99054,0.5162,1.58299,0.70141,1.95846,0.005347,0.005347,0.005347
49,717.037,1.44841,0.86575,1.76748,0.9785,0.99242,0.99129,0.54599,1.46589,0.70921,1.86942,0.005248,0.005248,0.005248
50,731.675,1.42364,0.83536,1.73939,0.97727,0.97705,0.96551,0.48192,1.61855,0.71247,1.97228,0.005149,0.005149,0.005149
51,746.283,1.42581,0.81503,1.72543,0.99241,0.99033,0.9942,0.55515,1.4684,0.64183,1.86572,0.00505,0.00505,0.00505
52,760.931,1.43478,0.8379,1.76153,0.97544,0.98485,0.97248,0.51582,1.5356,0.6891,1.91817,0.004951,0.004951,0.004951
53,775.532,1.42224,0.83115,1.75366,0.98123,0.99009,0.98867,0.52504,1.54223,0.73985,1.91553,0.004852,0.004852,0.004852
54,790.138,1.41231,0.82991,1.71984,0.98625,0.97727,0.98782,0.54127,1.50618,0.64754,1.84062,0.004753,0.004753,0.004753
55,804.834,1.41816,0.81526,1.7165,0.95192,0.975,0.98067,0.53037,1.51976,0.65777,1.86457,0.004654,0.004654,0.004654
56,819.41,1.40171,0.79348,1.70921,0.98018,0.98485,0.98977,0.55573,1.48823,0.62315,1.83815,0.004555,0.004555,0.004555
57,834.036,1.39896,0.79571,1.72211,0.98394,0.98485,0.98291,0.5232,1.50468,0.66655,1.87832,0.004456,0.004456,0.004456
58,848.649,1.40445,0.79981,1.71158,0.9917,0.98864,0.9875,0.54696,1.44263,0.61234,1.83092,0.004357,0.004357,0.004357
59,863.269,1.38916,0.78489,1.71585,0.99248,0.99992,0.995,0.56907,1.48284,0.60433,1.84983,0.004258,0.004258,0.004258
60,877.895,1.38505,0.80062,1.69674,0.9962,0.99314,0.995,0.56363,1.45085,0.60978,1.84248,0.004159,0.004159,0.004159
61,892.593,1.38514,0.7949,1.70349,0.99953,0.99621,0.995,0.54825,1.52958,0.60246,1.89861,0.00406,0.00406,0.00406
62,907.246,1.40522,0.80213,1.73322,0.9922,0.99242,0.99485,0.56273,1.42586,0.59327,1.82273,0.003961,0.003961,0.003961
63,921.95,1.39067,0.79846,1.71675,0.97172,0.98864,0.99086,0.52672,1.49175,0.60933,1.85452,0.003862,0.003862,0.003862
64,936.534,1.38594,0.76342,1.69828,0.96168,0.9697,0.97753,0.5035,1.51538,0.65256,1.88968,0.003763,0.003763,0.003763
65,951.126,1.38185,0.77451,1.7071,0.99801,0.99242,0.995,0.54661,1.466,0.61561,1.84709,0.003664,0.003664,0.003664
66,965.671,1.3579,0.77659,1.67537,0.99418,0.99621,0.995,0.54415,1.51234,0.58571,1.85737,0.003565,0.003565,0.003565
67,980.24,1.39067,0.75726,1.69932,0.99165,0.99242,0.99477,0.55444,1.479,0.58319,1.83344,0.003466,0.003466,0.003466
68,994.808,1.37304,0.76961,1.68747,0.97033,0.97348,0.96306,0.53273,1.45502,0.62423,1.81017,0.003367,0.003367,0.003367
69,1009.37,1.36888,0.75787,1.67423,0.99239,0.98732,0.99318,0.54743,1.47805,0.59769,1.83865,0.003268,0.003268,0.003268
70,1023.93,1.36559,0.75908,1.67332,0.97714,0.98485,0.99384,0.55116,1.4668,0.58374,1.82911,0.003169,0.003169,0.003169
71,1038.59,1.36944,0.77093,1.66072,0.97611,0.97727,0.97898,0.54861,1.45861,0.58621,1.82248,0.00307,0.00307,0.00307
72,1053.16,1.37717,0.75222,1.68934,0.99069,0.98864,0.99418,0.54988,1.49095,0.60246,1.8538,0.002971,0.002971,0.002971
73,1067.69,1.36751,0.72407,1.68951,0.97649,0.98106,0.97962,0.55487,1.484,0.55062,1.83002,0.002872,0.002872,0.002872
74,1082.22,1.35069,0.72864,1.66936,0.99507,0.99242,0.99458,0.55543,1.50474,0.57514,1.81379,0.002773,0.002773,0.002773
75,1096.74,1.37734,0.73406,1.67347,1,0.99593,0.995,0.57015,1.46762,0.53548,1.82165,0.002674,0.002674,0.002674
